ID;Vorname;Nachname;Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00058548;Peter;Gulacsi;Gulacsi;RB Leipzig;GOALKEEPER;4200000;166;2.97
pl-k00058821;Thomas;Delaney;Delaney;Borussia Dortmund;MIDFIELDER;2800000;66;3.15
pl-k00058938;Christopher;Trimmel;Trimmel;1. FC Union Berlin;DEFENDER;2300000;89;3.42
pl-k00059041;Andrej;Kramaric;Kramaric;TSG Hoffenheim;FORWARD;7000000;226;2.74
pl-k00059163;Christoph;Kramer;Kramer;Bor. Mönchengladbach;MIDFIELDER;2200000;58;3.48
pl-k00059507;Koen;Casteels;Casteels;VfL Wolfsburg;GOALKEEPER;4000000;183;2.86
pl-k00059580;Kevin;Behrens;Behrens;1. FC Union Berlin;FORWARD;1500000;0;0.0
pl-k00060202;Charles;Aranguiz;Aranguiz;Bayer 04 Leverkusen;MIDFIELDER;2800000;17;3.8
pl-k00060322;Raphael;Framberger;Framberger;FC Augsburg;DEFENDER;700000;-16;4.14
pl-k00060522;Stefan;Bell;Bell;1. FSV Mainz 05;DEFENDER;1700000;52;3.28
pl-k00061010;Tom;Weilandt;Weilandt;VfL Bochum;MIDFIELDER;800000;0;0.0
pl-k00061154;Dedryck;Boyata;Boyata;Hertha BSC;DEFENDER;2400000;73;3.12
pl-k00062752;Alfred;Finnbogason;Finnbogason;FC Augsburg;FORWARD;1800000;-2;4.36
pl-k00063586;Alexander;Schwolow;Schwolow;Hertha BSC;GOALKEEPER;2800000;122;3.04
pl-k00063777;Lukas;Kübler;Kübler;SC Freiburg;DEFENDER;1000000;17;3.79
pl-k00063799;Michael;Gregoritsch;Gregoritsch;FC Augsburg;FORWARD;1700000;19;3.95
pl-k00063803;Mark;Uth;Uth;1. FC Köln;FORWARD;2000000;-8;4.24
pl-k00064040;Maximilian;Arnold;Arnold;VfL Wolfsburg;MIDFIELDER;3500000;138;3.0
pl-k00064523;Jonas;Hector;Hector;1. FC Köln;MIDFIELDER;2600000;70;3.23
pl-k00064701;Rafael;Czichos;Czichos;1. FC Köln;DEFENDER;1700000;45;3.63
pl-k00065340;Rafal;Gikiewicz;Gikiewicz;FC Augsburg;GOALKEEPER;3500000;179;2.85
pl-k00065514;Marcel;Halstenberg;Halstenberg;RB Leipzig;DEFENDER;2800000;74;3.3
pl-k00065523;Niko;Gießelmann;Gießelmann;1. FC Union Berlin;DEFENDER;1500000;13;3.75
pl-k00065540;Robin;Knoche;Knoche;1. FC Union Berlin;DEFENDER;2400000;75;3.49
pl-k00065646;Stefan;Ortega Moreno;Ortega Moreno;Arminia Bielefeld;GOALKEEPER;3600000;200;2.81
pl-k00065896;Robin;Zentner;Zentner;1. FSV Mainz 05;GOALKEEPER;2200000;133;3.08
pl-k00065936;Anthony;Modeste;Modeste;1. FC Köln;FORWARD;1500000;-5;5.25
pl-k00066084;Pavel;Kaderabek;Kaderabek;TSG Hoffenheim;DEFENDER;2000000;55;3.32
pl-k00066106;Sebastian;Griesbeck;Griesbeck;1. FC Union Berlin;MIDFIELDER;1200000;29;3.61
pl-k00066248;Martin;Hinteregger;Hinteregger;Eintracht Frankfurt;DEFENDER;2800000;87;3.36
pl-k00066249;Stefan;Lainer;Lainer;Bor. Mönchengladbach;DEFENDER;2800000;89;3.4
pl-k00066523;Florian;Kainz;Kainz;1. FC Köln;MIDFIELDER;1600000;6;4.0
pl-k00066525;Dominique;Heintz;Heintz;SC Freiburg;DEFENDER;1700000;31;3.57
pl-k00066745;Niklas;Süle;Süle;Bayern München;DEFENDER;3000000;39;3.53
pl-k00066753;Serge;Gnabry;Gnabry;Bayern München;MIDFIELDER;5800000;126;3.15
pl-k00066754;Leon;Goretzka;Goretzka;Bayern München;MIDFIELDER;7000000;139;2.77
pl-k00066756;Marc Oliver;Kempf;Kempf;VfB Stuttgart;DEFENDER;2200000;67;3.56
pl-k00067047;Marius;Funk;Funk;SpVgg Greuther Fürth;GOALKEEPER;700000;0;0.0
pl-k00067060;Levin;Öztunali;Öztunali;1. FC Union Berlin;MIDFIELDER;1600000;36;3.33
pl-k00067220;Erik;Durm;Durm;Eintracht Frankfurt;DEFENDER;1600000;33;3.68
pl-k00067514;Kevin;Stöger;Stöger;1. FSV Mainz 05;MIDFIELDER;1700000;33;3.6
pl-k00067717;John Anthony;Brooks;Brooks;VfL Wolfsburg;DEFENDER;3000000;110;3.23
pl-k00067724;Kevin;Akpoguma;Akpoguma;TSG Hoffenheim;DEFENDER;1600000;25;3.69
pl-k00067725;Julian;Green;Green;SpVgg Greuther Fürth;MIDFIELDER;1700000;0;0.0
pl-k00068029;Jonas;Hofmann;Hofmann;Bor. Mönchengladbach;MIDFIELDER;3400000;119;3.24
pl-k00068317;Davie;Selke;Selke;Hertha BSC;FORWARD;1500000;4;4.32
pl-k00068571;Timo;Baumgartl;Baumgartl;1. FC Union Berlin;DEFENDER;1500000;0;0.0
pl-k00068578;Julian;Brandt;Brandt;Borussia Dortmund;MIDFIELDER;3000000;16;4.11
pl-k00068662;Hamadi;Al Ghaddioui;Al Ghaddioui;VfB Stuttgart;FORWARD;1300000;6;0.0
pl-k00069159;Florian;Niederlechner;Niederlechner;FC Augsburg;FORWARD;2200000;20;4.0
pl-k00069255;Willi;Orban;Orban;RB Leipzig;DEFENDER;3400000;139;2.94
pl-k00069265;Anthony;Ujah;Ujah;1. FC Union Berlin;FORWARD;1000000;0;0.0
pl-k00069724;Benjamin;Uphoff;Uphoff;SC Freiburg;GOALKEEPER;700000;0;0.0
pl-k00070281;Vladimir;Darida;Darida;Hertha BSC;MIDFIELDER;1800000;44;3.65
pl-k00070374;Marvin;Schwäbe;Schwäbe;1. FC Köln;GOALKEEPER;1000000;0;0.0
pl-k00070375;Herbert;Bockhorn;Bockhorn;VfL Bochum;DEFENDER;1300000;0;0.0
pl-k00070381;Cristian;Gamboa;Gamboa;VfL Bochum;DEFENDER;1400000;0;0.0
pl-k00070495;Thomas;Meunier;Meunier;Borussia Dortmund;DEFENDER;2300000;18;3.88
pl-k00070546;Munas;Dabbur;Dabbur;TSG Hoffenheim;FORWARD;2500000;37;3.67
pl-k00070592;Jonathan;Tah;Tah;Bayer 04 Leverkusen;DEFENDER;2800000;81;3.29
pl-k00070806;Maximilian;Philipp;Philipp;VfL Wolfsburg;MIDFIELDER;2800000;69;3.35
pl-k00070926;Havard;Nielsen;Nielsen;SpVgg Greuther Fürth;FORWARD;1800000;0;0.0
pl-k00070990;Matthias;Ginter;Ginter;Bor. Mönchengladbach;DEFENDER;3800000;148;3.01
pl-k00070997;Robert;Andrich;Andrich;1. FC Union Berlin;MIDFIELDER;2500000;105;3.31
pl-k00071021;Benjamin;Henrichs;Henrichs;RB Leipzig;DEFENDER;2000000;13;3.71
pl-k00071026;Cedric;Teuchert;Teuchert;1. FC Union Berlin;FORWARD;1600000;46;3.36
pl-k00071073;Konstantinos;Stafylidis;Stafylidis;VfL Bochum;DEFENDER;1300000;0;0.0
pl-k00071150;Joshua;Kimmich;Kimmich;Bayern München;MIDFIELDER;7000000;151;2.83
pl-k00071151;Niklas;Stark;Stark;Hertha BSC;DEFENDER;2500000;80;3.37
pl-k00071152;Marvin;Stefaniak;Stefaniak;VfL Wolfsburg;MIDFIELDER;600000;0;0.0
pl-k00071294;Dominik;Kohr;Kohr;1. FSV Mainz 05;MIDFIELDER;1700000;50;3.44
pl-k00071610;Janik;Haberer;Haberer;SC Freiburg;MIDFIELDER;1600000;-5;4.5
pl-k00071930;Yannick;Gerhardt;Gerhardt;VfL Wolfsburg;MIDFIELDER;2300000;72;3.45
pl-k00072199;Christopher;Lenz;Lenz;Eintracht Frankfurt;DEFENDER;2000000;65;3.43
pl-k00072446;Joel;Pohjanpalo;Pohjanpalo;Bayer 04 Leverkusen;FORWARD;1800000;42;3.77
pl-k00072478;Mark;Flekken;Flekken;SC Freiburg;GOALKEEPER;2400000;18;2.5
pl-k00072607;Niklas;Lomb;Lomb;Bayer 04 Leverkusen;GOALKEEPER;500000;-1;4.0
pl-k00072618;Kerem;Demirbay;Demirbay;Bayer 04 Leverkusen;MIDFIELDER;2800000;45;3.81
pl-k00072706;Christian;Günter;Günter;SC Freiburg;DEFENDER;3000000;134;3.19
pl-k00072759;Vincenzo;Grifo;Grifo;SC Freiburg;MIDFIELDER;4000000;147;3.26
pl-k00073015;Anthony;Losilla;Losilla;VfL Bochum;MIDFIELDER;1700000;0;0.0
pl-k00073206;Marcel;Sabitzer;Sabitzer;RB Leipzig;MIDFIELDER;6000000;154;2.9
pl-k00073214;Branimir;Hrgota;Hrgota;SpVgg Greuther Fürth;FORWARD;2000000;0;0.0
pl-k00073309;Benno;Schmitz;Schmitz;1. FC Köln;DEFENDER;800000;9;4.0
pl-k00073311;Alessandro;Schöpf;Schöpf;Arminia Bielefeld;MIDFIELDER;1000000;-45;4.92
pl-k00073363;Sebastian;Andersson;Andersson;1. FC Köln;FORWARD;2200000;16;4.0
pl-k00074015;Alexander;Hack;Hack;1. FSV Mainz 05;DEFENDER;1400000;36;3.57
pl-k00074428;Kingsley;Schindler;Schindler;1. FC Köln;MIDFIELDER;1000000;0;0.0
pl-k00074645;Thorgan;Hazard;Hazard;Borussia Dortmund;FORWARD;3800000;30;3.5
pl-k00074734;Raman;Chibsah;Chibsah;VfL Bochum;MIDFIELDER;700000;0;0.0
pl-k00074868;Jakob;Busk;Busk;1. FC Union Berlin;GOALKEEPER;500000;0;0.0
pl-k00075006;Jeffrey;Gouweleeuw;Gouweleeuw;FC Augsburg;DEFENDER;2000000;55;3.66
pl-k00075062;Louis;Schaub;Schaub;1. FC Köln;MIDFIELDER;1300000;0;0.0
pl-k00075072;Alassane;Plea;Plea;Bor. Mönchengladbach;FORWARD;4000000;48;3.72
pl-k00075196;Jordan;Torunarigha;Torunarigha;Hertha BSC;DEFENDER;1600000;19;3.67
pl-k00075360;Max;Christiansen;Christiansen;SpVgg Greuther Fürth;MIDFIELDER;1300000;0;0.0
pl-k00075379;Silvan;Widmer;Widmer;1. FSV Mainz 05;DEFENDER;1800000;0;0.0
pl-k00075434;Pawel;Wszolek;Wszolek;1. FC Union Berlin;MIDFIELDER;1500000;0;0.0
pl-k00075525;Jannes;Horn;Horn;1. FC Köln;DEFENDER;1000000;-6;4.11
pl-k00075608;Finn;Dahmen;Dahmen;1. FSV Mainz 05;GOALKEEPER;800000;16;2.67
pl-k00075624;Niklas;Dorsch;Dorsch;FC Augsburg;MIDFIELDER;2000000;0;0.0
pl-k00075625;Dennis;Geiger;Geiger;TSG Hoffenheim;MIDFIELDER;1600000;20;3.5
pl-k00075628;Salih;Özcan;Özcan;1. FC Köln;MIDFIELDER;1300000;16;3.97
pl-k00075651;Frederik;Rönnow;Rönnow;1. FC Union Berlin;GOALKEEPER;1400000;42;3.14
pl-k00075982;Joshua;Brenet;Brenet;TSG Hoffenheim;DEFENDER;700000;1;0.0
pl-k00076084;Sargis;Adamyan;Adamyan;TSG Hoffenheim;FORWARD;2000000;48;2.6
pl-k00076265;Danilo;Soares;Danilo Soares;VfL Bochum;DEFENDER;1600000;0;0.0
pl-k00076446;Yussuf;Poulsen;Poulsen;RB Leipzig;FORWARD;3600000;79;3.3
pl-k00076462;Kevin;Mbabu;Mbabu;VfL Wolfsburg;DEFENDER;2400000;60;3.28
pl-k00076575;Lukas;Klostermann;Klostermann;RB Leipzig;DEFENDER;2800000;59;3.25
pl-k00077009;Ihlas;Bebou;Bebou;TSG Hoffenheim;FORWARD;3300000;119;3.26
pl-k00077245;Suat;Serdar;Serdar;Hertha BSC;MIDFIELDER;2000000;-18;4.34
pl-k00077258;Mike;van der Hoorn;van der Hoorn;Arminia Bielefeld;DEFENDER;1400000;24;3.77
pl-k00077322;Niklas;Klinger;Klinger;VfL Wolfsburg;GOALKEEPER;500000;0;0.0
pl-k00077333;Marvin;Friedrich;Friedrich;1. FC Union Berlin;DEFENDER;3400000;171;3.03
pl-k00077352;Paul;Seguin;Seguin;SpVgg Greuther Fürth;MIDFIELDER;1800000;0;0.0
pl-k00078269;Erik;Thommy;Thommy;VfB Stuttgart;MIDFIELDER;1400000;7;3.88
pl-k00078679;Saulo;Decarli;Decarli;VfL Bochum;DEFENDER;1000000;0;0.0
pl-k00078878;Genki;Haraguchi;Haraguchi;1. FC Union Berlin;MIDFIELDER;1700000;0;0.0
pl-k00079036;Mahmoud;Dahoud;Dahoud;Borussia Dortmund;MIDFIELDER;2800000;51;3.37
pl-k00079134;Philipp;Förster;Förster;VfB Stuttgart;MIDFIELDER;1600000;33;3.76
pl-k00079176;Atakan;Karazor;Karazor;VfB Stuttgart;DEFENDER;1000000;11;3.88
pl-k00079360;Pascal;Stenzel;Stenzel;VfB Stuttgart;DEFENDER;1200000;-1;4.03
pl-k00079504;Florian;Grillitsch;Grillitsch;TSG Hoffenheim;MIDFIELDER;2400000;73;3.36
pl-k00079536;Ajdin;Hrustic;Hrustic;Eintracht Frankfurt;MIDFIELDER;1400000;16;3.5
pl-k00079543;Leroy;Sané;Sané;Bayern München;MIDFIELDER;5500000;82;3.52
pl-k00079577;Marius;Wolf;Wolf;Borussia Dortmund;MIDFIELDER;1600000;24;3.9
pl-k00079687;Marco;Meyerhöfer;Meyerhöfer;SpVgg Greuther Fürth;DEFENDER;1600000;0;0.0
pl-k00079716;Milos;Pantovic;Pantovic;VfL Bochum;MIDFIELDER;1000000;0;0.0
pl-k00079765;Lukas;Klünter;Klünter;Hertha BSC;DEFENDER;1500000;23;3.55
pl-k00079813;Maximilian;Mittelstädt;Mittelstädt;Hertha BSC;DEFENDER;1300000;-5;4.11
pl-k00079935;Lucas;Höler;Höler;SC Freiburg;FORWARD;1700000;41;3.78
pl-k00080083;Nadiem;Amiri;Amiri;Bayer 04 Leverkusen;MIDFIELDER;2400000;19;4.0
pl-k00080088;Grischa;Prömel;Prömel;1. FC Union Berlin;MIDFIELDER;2000000;67;3.43
pl-k00080172;Timo;Hübers;Hübers;1. FC Köln;DEFENDER;1400000;0;0.0
pl-k00080174;Waldemar;Anton;Anton;VfB Stuttgart;DEFENDER;2200000;62;3.5
pl-k00080183;Noah Joel;Sarenren Bazee;Sarenren Bazee;FC Augsburg;MIDFIELDER;1000000;6;0.0
pl-k00080321;Niklas;Hauptmann;Hauptmann;1. FC Köln;MIDFIELDER;1000000;0;0.0
pl-k00080342;Felix;Passlack;Passlack;Borussia Dortmund;DEFENDER;600000;15;3.5
pl-k00080351;Chris;Führich;Führich;VfB Stuttgart;MIDFIELDER;1600000;0;0.0
pl-k00080364;Amos;Pieper;Pieper;Arminia Bielefeld;DEFENDER;2200000;71;3.48
pl-k00080554;Elvis;Rexhbecaj;Rexhbecaj;VfL Bochum;MIDFIELDER;1600000;33;4.0
pl-k00080633;Nils-Jonathan;Körber;Körber;Hertha BSC;GOALKEEPER;600000;0;0.0
pl-k00080656;Anderson;Lucoqui;Lucoqui;1. FSV Mainz 05;DEFENDER;1500000;32;3.61
pl-k00080708;Soma;Novothny;Novothny;VfL Bochum;FORWARD;700000;0;0.0
pl-k00080756;Tarsis;Bonga;Bonga;VfL Bochum;FORWARD;700000;0;0.0
pl-k00080766;Florian;Müller;Müller;VfB Stuttgart;GOALKEEPER;2600000;149;2.92
pl-k00080887;Nils;Seufert;Seufert;SpVgg Greuther Fürth;MIDFIELDER;800000;0;4.3
pl-k00080895;Eduard;Löwen;Löwen;VfL Bochum;MIDFIELDER;1400000;2;5.0
pl-k00081437;Kingsley;Coman;Coman;Bayern München;MIDFIELDER;6500000;146;2.98
pl-k00081453;Mijat;Gacinovic;Gacinovic;TSG Hoffenheim;MIDFIELDER;1400000;10;4.0
pl-k00081470;Gideon;Jung;Jung;SpVgg Greuther Fürth;DEFENDER;1200000;0;0.0
pl-k00081580;Paul;Jaeckel;Jaeckel;1. FC Union Berlin;DEFENDER;1500000;0;0.0
pl-k00081638;Marco;Richter;Richter;Hertha BSC;MIDFIELDER;1800000;41;3.72
pl-k00081694;Marin;Pongracic;Pongracic;VfL Wolfsburg;DEFENDER;1800000;6;3.79
pl-k00081706;Corentin;Tolisso;Tolisso;Bayern München;MIDFIELDER;2600000;7;3.89
pl-k00081865;Emil;Forsberg;Forsberg;RB Leipzig;MIDFIELDER;4000000;111;3.26
pl-k00081912;Felix;Uduokhai;Uduokhai;FC Augsburg;DEFENDER;2200000;70;3.47
pl-k00081913;Florian;Neuhaus;Neuhaus;Bor. Mönchengladbach;MIDFIELDER;3800000;118;3.33
pl-k00082081;Luca;Itter;Itter;SpVgg Greuther Fürth;DEFENDER;1000000;0;0.0
pl-k00082087;Arne;Maier;Maier;FC Augsburg;MIDFIELDER;1400000;-5;4.19
pl-k00082119;Fabian;Bredlow;Bredlow;VfB Stuttgart;GOALKEEPER;700000;13;1.5
pl-k00082152;Lucas;Hernandez;Hernandez;Bayern München;DEFENDER;3400000;66;3.19
pl-k00082629;Carlos;Gruezo;Gruezo;FC Augsburg;MIDFIELDER;1200000;-7;4.08
pl-k00082727;Robin;Hack;Hack;Arminia Bielefeld;MIDFIELDER;1600000;0;0.0
pl-k00082809;Wendell;Nascimento Borges;Wendell;Bayer 04 Leverkusen;DEFENDER;1600000;8;3.94
pl-k00082902;Jean-Paul;Boetius;Boetius;1. FSV Mainz 05;MIDFIELDER;1700000;25;3.92
pl-k00082915;Breel;Embolo;Embolo;Bor. Mönchengladbach;FORWARD;3500000;64;3.63
pl-k00083165;Alexander;Sörloth;Sörloth;RB Leipzig;FORWARD;3000000;56;3.6
pl-k00083812;Gerrit;Holtmann;Holtmann;VfL Bochum;MIDFIELDER;1400000;0;0.0
pl-k00083928;Aymen;Barkok;Barkok;Eintracht Frankfurt;MIDFIELDER;1500000;36;3.69
pl-k00084336;Renato;Steffen;Steffen;VfL Wolfsburg;MIDFIELDER;2400000;73;3.43
pl-k00084359;Cedric;Brunner;Brunner;Arminia Bielefeld;DEFENDER;1600000;38;3.69
pl-k00084365;Nico;Elvedi;Elvedi;Bor. Mönchengladbach;DEFENDER;2800000;85;3.47
pl-k00084612;Filip;Kostic;Kostic;Eintracht Frankfurt;MIDFIELDER;4200000;158;3.02
pl-k00084940;Philipp;Lienhart;Lienhart;SC Freiburg;DEFENDER;2800000;103;3.41
pl-k00084943;Konrad;Laimer;Laimer;RB Leipzig;MIDFIELDER;2800000;-2;5.0
pl-k00085014;André;Silva;Silva;RB Leipzig;FORWARD;7500000;265;2.83
pl-k00085123;Ondrej;Duda;Duda;1. FC Köln;MIDFIELDER;2200000;65;3.78
pl-k00085575;Reece;Oxford;Oxford;FC Augsburg;DEFENDER;800000;5;4.07
pl-k00085729;Florian;Krüger;Krüger;Arminia Bielefeld;FORWARD;1500000;0;0.0
pl-k00085778;Patrik;Schick;Schick;Bayer 04 Leverkusen;FORWARD;4000000;58;3.74
pl-k00085871;Lennart;Grill;Grill;Bayer 04 Leverkusen;GOALKEEPER;1000000;22;2.75
pl-k00086132;Daley;Sinkgraven;Sinkgraven;Bayer 04 Leverkusen;DEFENDER;1800000;31;3.63
pl-k00086166;Raphael;Guerreiro;Guerreiro;Borussia Dortmund;DEFENDER;3800000;119;3.22
pl-k00086176;Tomas;Koubek;Koubek;FC Augsburg;GOALKEEPER;700000;0;0.0
pl-k00086520;José;Tasende;Angelino;RB Leipzig;DEFENDER;3200000;137;2.92
pl-k00087020;Silvere;Ganvoula;Ganvoula;VfL Bochum;FORWARD;1400000;0;0.0
pl-k00087198;Almamy;Toure;Toure;Eintracht Frankfurt;DEFENDER;1400000;25;3.69
pl-k00087214;Emil;Berggreen;Berggreen;SpVgg Greuther Fürth;FORWARD;600000;0;0.0
pl-k00087259;Kingsley;Ehizibue;Ehizibue;1. FC Köln;DEFENDER;1200000;-7;4.19
pl-k00087260;Sheraldo;Becker;Becker;1. FC Union Berlin;FORWARD;1700000;53;3.43
pl-k00087270;Janni;Serra;Serra;Arminia Bielefeld;FORWARD;1600000;0;0.0
pl-k00087277;Jeremiah;St. Juste;St. Juste;1. FSV Mainz 05;DEFENDER;2200000;76;3.48
pl-k00087489;Edimilson;Fernandes;Fernandes;1. FSV Mainz 05;MIDFIELDER;1200000;18;3.64
